id	label
Acid	Acid
Africa_Day	Africa_Day
Agriculture_in_South_Africa	Agriculture_in_South_Africa
Alcohol_abuse	Alcohol_abuse
Alcohol_dependence	Alcohol_dependence
Alcoholism	Alcoholism
Aloe	Aloe
Aloe_vera	Aloe_vera
Animal_husbandry	Animal_husbandry
Apartheid	Apartheid
Atom	Atom
Base_(chemistry)	Base_(chemistry)
Bias	Bias
Bicycle	Bicycle
Biome	Biome
Bird_nest	Bird_nest
Boiling	Boiling
Borehole	Borehole
Bullying	Bullying
Car	Car
Castle_of_Good_Hope	Castle_of_Good_Hope
Cell_(biology)	Cell_(biology)
Ceramic	Ceramic
Chapter_Two_of_the_Constitution_of_South_Africa	Chapter_Two_of_the_Constitution_of_South_Africa
Child_abuse	Child_abuse
Circuit_diagram	Circuit_diagram
Clay	Clay
Climate	Climate
Coal	Coal
Coal_in_South_Africa	Coal_in_South_Africa
Control_variable	Control_variable
Cooking	Cooking
Cradle_of_Humankind	Cradle_of_Humankind
Day_of_Reconciliation	Day_of_Reconciliation
Design	Design
Discrimination	Discrimination
Domestic_violence	Domestic_violence
Drakensberg	Drakensberg
Duration_(music)	Duration_(music)
Economy_of_South_Africa	Economy_of_South_Africa
Ecosystem	Ecosystem
Electrical_conductor	Electrical_conductor
Electrical_network	Electrical_network
Electricity_generation	Electricity_generation
Energy_in_South_Africa	Energy_in_South_Africa
Fair_trade	Fair_trade
Farm	Farm
Fiber	Fiber
Flag_of_South_Africa	Flag_of_South_Africa
Food	Food
Food_pyramid_(nutrition)	Food_pyramid_(nutrition)
Food_security	Food_security
Food_vs._fuel	Food_vs._fuel
Frances_Baard	Frances_Baard
Free_State_(province)	Free_State_(province)
Freedom_Day_(South_Africa)	Freedom_Day_(South_Africa)
Gana_and_Gwi_people	Gana_and_Gwi_people
Gauteng	Gauteng
Glass	Glass
Griqua_people	Griqua_people
Hand_washing	Hand_washing
Health	Health
Herero_and_Namaqua_genocide	Herero_and_Namaqua_genocide
Heritage_Day_(South_Africa)	Heritage_Day_(South_Africa)
History_of_South_Africa	History_of_South_Africa
HIV	HIV
HIV/AIDS	HIV/AIDS
Home_safety	Home_safety
Human_nutrition	Human_nutrition
Human_swimming	Human_swimming
Hydraulics	Hydraulics
Insulator_(electricity)	Insulator_(electricity)
Khoikhoi	Khoikhoi
Khoikhoi_mythology	Khoikhoi_mythology
Khoisan_languages	Khoisan_languages
Kingdom_of_Mapungubwe	Kingdom_of_Mapungubwe
Latitude	Latitude
List_of_South_Africans	List_of_South_Africans
Longitude	Longitude
Mahatma_Gandhi	Mahatma_Gandhi
Malaria	Malaria
Mandela_Day	Mandela_Day
Map	Map
Mining_industry_of_South_Africa	Mining_industry_of_South_Africa
Mpumalanga	Mpumalanga
Music_of_Africa	Music_of_Africa
Music_of_South_Africa	Music_of_South_Africa
National_anthem_of_South_Africa	National_anthem_of_South_Africa
National_symbols_of_South_Africa	National_symbols_of_South_Africa
National_Women's_Day	National_Women's_Day
Nelson_Mandela	Nelson_Mandela
Nest	Nest
Noise_pollution	Noise_pollution
Oliver_Tambo	Oliver_Tambo
Outer_space	Outer_space
Paper	Paper
People_Against_Gangsterism_and_Drugs	People_Against_Gangsterism_and_Drugs
Pitch_(music)	Pitch_(music)
Pneumatics	Pneumatics
Politics_of_South_Africa	Politics_of_South_Africa
Pollution	Pollution
Rail_transport	Rail_transport
Rail_transport_in_South_Africa	Rail_transport_in_South_Africa
Reproduction	Reproduction
Right_to_food	Right_to_food
San_healing_practices	San_healing_practices
San_people	San_people
San_religion	San_religion
San_rock_art	San_rock_art
Sand	Sand
Scale_(map)	Scale_(map)
Scientific_method	Scientific_method
Settling	Settling
Sexism	Sexism
Soil	Soil
Sound	Sound
South_Africa	South_Africa
South_African_cuisine	South_African_cuisine
South_African_locomotive_history	South_African_locomotive_history
Standard_Model	Standard_Model
Steve_Biko	Steve_Biko
Tap_(valve)	Tap_(valve)
Textile	Textile
Totale complessivo	Totale complessivo
Trade	Trade
Transport	Transport
Transport_in_South_Africa	Transport_in_South_Africa
Walter_Sisulu	Walter_Sisulu
Water_pollution	Water_pollution
Water_supply_and_sanitation_in_South_Africa	Water_supply_and_sanitation_in_South_Africa
Water_well	Water_well
Western_Cape	Western_Cape
Wildlife_conservation	Wildlife_conservation
Wildlife_management	Wildlife_management
Winnie_Madikizela-Mandela	Winnie_Madikizela-Mandela
Wood	Wood
Wool	Wool
